"H","L0601","027","218248","IBProduce","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","3758778",,,,,,"1","3 LB","LB","IMPERIAL FRESH","13000010","Mushrooms Shiitake Medium With Stems","Produce",31.69,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","1182211",,,,,,"1","10LB","LB","IMPERIAL FRESH","","Mushroom Medium Fresh","Produce",26.39,,"N",,false,,0,10.1,,"STOCKED",,"N",,
"P","8313967",,,,,,"1","25 LB","LB","IMPERIAL FRESH","","Onion Red Jumbo Box","Produce",45.95,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","1094721",,,,,,"1","50 LB","LB","IMPERIAL FRESH","","Onion Yellow Jumbo Bag","Produce",28.8,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","6846554",,,,,,"1","30 LB","LB","IMPERIAL FRESH","","Onions Yellow Whole Peeled Jumbo","Produce",48.85,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","7350788",,,,,,"4","2 LB","LB","IMPERIAL FRESH","","Onion Green Iceless","Produce",27.1,8.14,"N",,true,,1,8.4,,"STOCKED",,"N",,
"P","2219111",,,,,,"4","1 LB","LB","IMPERIAL FRESH","","Parsley Cleaned & Washed Fresh Herb","Produce",23.95,7.35,"N",,true,,1,4,,"STOCKED",,"N",,
"P","1745161",,,,,,"1","11 LB","LB","IMPERIAL FRESH","","Pepper Bell Red Hothouse #1","Produce",22.65,,"N",,false,,0,11,,"STOCKED",,"N",,
"P","9927799",,,,,,"1","10 LB","LB","IMPERIAL FRESH","","Pepper Jalapeno Fresh","Produce",23.47,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7413057",,,,,,"1","6 CT","CT","PROPACK","","Pineapple Fresh Golden Ripe","Produce",19.44,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","8481756",,,,,,"1","50 LB","LB","IMPERIAL FRESH","","Potato Red A Size #1 Fresh","Produce",32.47,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","1008465",,,,,,"1","50 LB","LB","IMPERIAL FRESH","","Potato Baking Idaho 90 Count Fresh","Produce",19.27,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","8474538",,,,,,"1","4 LB","LB","IMPERIAL FRESH","","Spinach Baby Fresh","Produce",16.45,,"N",,false,,0,4,,"STOCKED",,"N",,
"P","3629433",,,,,,"1","3 LB","LB","IMPERIAL FRESH","","Lettuce Spring Mix Conventional Pillow-packed","Produce",11.27,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","4249389",,,,,,"12","2 LB","LB","SYSCO IMPERIAL","000004249389","Pea Sugar Snap Grade A Usa","Frozen",79.35,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","6017263",,,,,,"12","1 PT","PT","IMPERIAL FRESH","","Tomato Grape Fresh","Produce",18.29,,"N",,false,,0,10,,"STOCKED",,"N",,
