P,5042650,1,0
P,4019139,1,0
P,7620281,1,0
P,4579587,10,0
P,4401758,2,0
P,8036867,1,0
P,3157690,2,0
P,3270676,1,0
P,1735372,6,0
P,2416691,6,0
P,4615704,1,0
P,8337503,6,0
P,2037125,1,0
P,1592336,2,0
P,7199860,3,0
P,2366607,1,0
P,9035601,3,0
P,1956804,1,0
P,3413107,1,0
P,5231238,4,0
P,3830100,20,0
P,1161181,15,0
P,9911903,1,0
P,7226918,3,0
P,4066781,2,0
P,4358370,15,0
P,7456025,3,0
P,7143223,4,0
P,7298333,1,0
P,7133036,12,0
P,2376067,4,0
P,7836562,3,0
P,0799540,1,0
P,7213975,3,0
P,3617531,2,0
P,5106402,2,0
P,7161191,2,0
