2025-10-26 11:30:40,664 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 11:30:40,680 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 11:30:40,698 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 11:30:40,720 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 11:30:40,737 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 11:30:40,754 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 11:30:40,770 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 11:30:40,788 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 11:35:50,135 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 11:35:50,152 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 11:35:50,168 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 11:35:50,185 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 11:35:50,202 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 11:35:50,221 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 11:35:50,242 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 11:35:50,258 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 11:35:50,275 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 11:35:50,292 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 11:35:50,316 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 11:35:50,334 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 11:39:57,304 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 11:39:57,320 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 11:39:57,337 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 11:39:57,354 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 11:39:57,370 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 11:39:57,387 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 11:39:57,403 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 11:39:57,419 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 11:39:57,436 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 11:39:57,452 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 11:39:57,469 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 11:39:57,485 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 11:40:38,823 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 11:40:38,841 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 11:40:38,858 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 11:40:38,874 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 11:40:38,889 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 11:40:38,906 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 11:40:38,921 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 11:40:38,937 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 11:40:38,953 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 11:40:38,969 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 11:40:38,984 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 11:40:39,001 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 11:42:15,107 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 11:42:15,125 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 11:42:15,144 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 11:42:15,167 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 11:42:15,187 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 11:42:15,206 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
