2025-10-11 11:38:48,350 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:39:27,088 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:40:36,304 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:43:34,461 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:44:05,603 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:45:00,493 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:46:32,519 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:49:35,785 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:50:54,074 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:51:02,227 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:52:39,012 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:53:11,228 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:54:17,374 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:57:36,416 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 11:59:21,218 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:04:23,879 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:06:18,128 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
