P,1161181,3,0
P,7119615,1,0
P,7119284,2,0
P,7119269,1,0
P,7119250,1,0
P,3891003,1,0
P,7468531,1,0
P,8399529,1,0
P,3438393,1,0
P,8821554,1,0
P,2072536,1,0
P,9035601,1,0
P,2916427,2,0
P,8114621,1,0
P,9906052,1,0
P,4019139,1,0
P,4072666,1,0
P,0128298,1,0
P,5818380,2,0
P,5833462,2,0
P,4736070,1,0
P,7620281,1,0
P,2366607,1,0
P,7199860,3,0
P,7226918,3,0
P,8489148,4,0
P,9911903,1,0
P,3335504,1,0
P,3413107,1,0
P,4438911,2,0
P,7133036,12,0
P,7213975,1,0
P,7101552,1,0
P,0017354,4,0
P,4617771,10,0
P,1159946,1,0
P,0669208,2,0
P,2004547,4,0
P,1008143,2,0
P,1723857,4,0
P,6235501,4,0
P,0683696,12,0
