"H","L0601","027","218248","ithaca produce list","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","4418752",,,,,,"1","11 LB","LB","PROPACK",,"Asparagus Fresh Standard","Produce",56.25,,"N",,false,,0,11,,"STOCKED",,,,
"P","6235501",,,,,,"8","1 LB","LB","PROPACK",,"Strawberry Fresh","Produce",38.85,,"N",,false,,0,8,,"STOCKED",,,,
"P","0668873",,,,,,"1","CTN","CS","PROPACK",,"Grape Red Seedless Large","Produce",61.65,,"N",,false,,0,18,,"STOCKED",,,,
"P","1254440",,,,,,"1","40 LB","LB","PROPACK",,"Banana Fresh Green","Produce",26.65,,"N",,false,,0,40,,"STOCKED",,,,
"P","3473562",,,,,,"2","5 LB","LB","IMPERIAL FRESH",,"Brussel Sprout Halved","Produce",30.97,,"N",,false,,0,10,,"STOCKED",,,,
"P","4510299",,,,,,"2","5 LB","CS","PACKER",,"Brussel Sprout Whole","Produce",28.99,,"N",,false,,0,10,,"STOCKED",,,,
"P","9006651",,,,,,"1","5 LB","CS","IMPERIAL FRESH",,"Pineapple Chunk","Produce",23.47,,"N",,false,,0,5,,"STOCKED",,,,
"P","3042421",,,,,,"1","5 LB","CS","IMPERIAL FRESH",,"Melon Cantaloupe Chunks","Produce",22.66,,"N",,false,,0,5,,"STOCKED",,,,
"P","3041712",,,,,,"1","5 LB","CS","IMPERIAL FRESH",,"Melon Honeydew Chunks","Produce",23.63,,"N",,false,,0,5,,"STOCKED",,,,
"P","2004547",,,,,,"1","1 LB","LB","IMPERIAL FRESH",,"Basil Fresh Herb","Produce",11.75,,"N",,false,,0,1,,"STOCKED",,,,
"P","2704989",,,,,,"1","20 LB","LB","IMPERIAL FRESH",,"Broccoli Crowns Fresh Iceless","Produce",27.78,,"N",,false,,0,20,,"STOCKED",,,,
"P","1675859",,,,,,"4","3 LB","LB","IMPERIAL FRESH",,"Broccoli Florets Iceless","Produce",29.18,,"N",,false,,0,12,,"STOCKED",,,,
"P","1164375",,,,,,"1","6 CT","CT","IMPERIAL FRESH",,"Melon Cantaloupe Fresh","Produce",24.8,,"N",,false,,0,12,,"STOCKED",,,,
