Item Code,Quantity
2273316,1
227347-2,2
2273399,2
289447-5,1
289448-3,1
289449-1,1
2014926,1
2014934,1
223791-5,3
223894-7,2
280251-0,1
2802668,1
0327270,2
248541-5,1
162243-0,1
0647719,1
039986-5,1
112599-6,1
2846376,1
291971-0,1
126506-5,1
286595-4,1
275976-9,2
