P,1161181,5,0
P,7119269,1,0
P,5817251,1,0
P,7468507,1,0
P,7468556,1,0
P,3438393,2,0
P,8821554,2,0
P,6596787,2,0
P,7108577,1,0
P,4579587,12,0
P,0128298,1,0
P,5818380,1,0
P,7199860,3,0
P,9035601,1,0
P,7226918,2,0
P,7161191,2,0
P,7143223,2,0
P,3413107,2,0
P,1956804,1,0
P,8114621,1,0
P,2916427,2,0
P,7770727,2,0
P,4438911,2,0
P,7133036,10,0
P,8806275,1,0
P,2393502,2,0
P,0017354,3,0
P,4617771,16,0
P,2536555,30,0
P,7456025,1,0
P,1735372,6,0
P,4294294,1,0
P,0669208,1,0
P,2004547,6,0
P,1008143,2,0
P,1723857,3,0
P,2189819,2,0
P,7152564,1,0
P,0683696,12,0
