"H","L0601","027","218248","IBProduce","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","2227015",,,,,,"1","50 LB","LB","IMPERIAL FRESH","2227015","Carrots Jumbo Fresh","Produce",59.95,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","2260149",,,,,,"1","12 CT","CT","PACKER","","Greens Collard Fresh","Produce",25.49,,"N",,false,,0,16.5,,"STOCKED",,"N",,
"P","2105773",,,,,,"1","30 DZ","DZ","WHOLESOME FARMS CLASSIC","32L2SW","Egg Shell Large White Usda Aa","Dairy",31.23,,"N",,false,,0,47,,"STOCKED",,"N",,
"P","2463164",,,,,,"1","4 LB","LB","IMPERIAL FRESH","","Grape Red Seedless Fresh","Produce",25.99,,"N",,false,,0,4,,"STOCKED",,"N",,
"P","1354135",,,,,,"1","5-6CT","CT","PROPACK","","Melon Honeydew Fresh","Produce",38.95,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","1985274",,,,,,"4","2.5 LB","LB","IMPERIAL FRESH","1985274","Kale Cleaned Ready To Use","Produce",40.95,11.99,"N",,true,,1,10,,"STOCKED",,"N",,
"P","1290469",,,,,,"1","39 CT","CT","PACKER","","Kiwi Fruit Fancy Fresh","Produce",30.55,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1008168",,,,,,"1","12 CT","CT","PROPACK","","Leek Bunch Fresh","Produce",43.99,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","1723857",,,,,,"1","24 CT","CT","SYSCO/FRESHPOINT NATURAL","1723857","Lettuce Greens Leaf Fresh With Liner","Produce",50.95,,"N",,false,,0,23,,"STOCKED",,"N",,
"P","3758778",,,,,,"1","3 LB","LB","IMPERIAL FRESH","13000010","Mushrooms Shiitake Medium With Stems","Produce",32.17,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","1182211",,,,,,"1","10LB","LB","IMPERIAL FRESH","","Mushroom Medium Fresh","Produce",25.53,,"N",,false,,0,10.1,,"STOCKED",,"N",,
"P","1094721",,,,,,"1","50 LB","LB","IMPERIAL FRESH","","Onion Yellow Jumbo Bag","Produce",28.95,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","6846554",,,,,,"1","30 LB","LB","IMPERIAL FRESH","6516003000SY","Onions Yellow Whole Peeled Jumbo","Produce",56.99,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","7350788",,,,,,"4","2 LB","LB","IMPERIAL FRESH","","Onion Green Iceless","Produce",27.95,8.69,"N",,true,,1,8.4,,"STOCKED",,"N",,
"P","2219111",,,,,,"4","1 LB","LB","IMPERIAL FRESH","","Parsley Cleaned & Washed Fresh Herb","Produce",25.79,7.95,"N",,true,,1,4,,"STOCKED",,"N",,
"P","1745161",,,,,,"1","11 LB","LB","IMPERIAL FRESH","","Pepper Bell Red Hothouse #1","Produce",26.99,,"N",,false,,0,11,,"STOCKED",,"N",,
"P","9927799",,,,,,"1","10 LB","LB","IMPERIAL FRESH","","Pepper Jalapeno Fresh","Produce",26.95,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7413057",,,,,,"1","6 CT","CT","PROPACK","","Pineapple Fresh Golden Ripe","Produce",20.88,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","8481756",,,,,,"1","50 LB","LB","IMPERIAL FRESH","","Potato Red A Size Crtn","Produce",24.99,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","1008465",,,,,,"1","50 LB","LB","IMPERIAL FRESH","","Potato Baking Russet 90 Count Fresh","Produce",19.95,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","8474538",,,,,,"1","4 LB","LB","IMPERIAL FRESH","","Spinach Baby Fresh","Produce",16.95,,"N",,false,,0,4,,"STOCKED",,"N",,
"P","3629433",,,,,,"1","3 LB","LB","IMPERIAL FRESH","","Lettuce Spring Mix Conventional Pillow-packed","Produce",14.31,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","4249389",,,,,,"12","2 LB","LB","SYSCO IMPERIAL","112228","Pea Sugar Snap Grade A Usa","Frozen",82.59,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","6017263",,,,,,"12","1 PT","PT","IMPERIAL FRESH","","Tomato Grape Fresh","Produce",27.75,,"N",,false,,0,9.9996,,"STOCKED",,"N",,
"P","9173196",,,,,,"1","4-5 CT","CT","PACKER","","Melon Watermelon Seedless Fresh","Produce",81.59,,"N",,false,,0,70,,"STOCKED",,"N",,
"P","2036598",,,,,,"1","18-24#","LB","PROPACK","","Squash Zucchini Small Fancy Fresh","Produce",37.99,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","7410566",,,,,,"1","6 CT","CT","IMPERIAL FRESH","","Grapefruit Ruby Red Fresh","Produce",19.81,,"N",,false,,0,6.5,,"STOCKED",,"N",,
"P","1182336",,,,,,"12",".5 PT","PT","PROPACK","4054","Raspberry Red Fresh","Produce",30.02,,"N",,false,,0,5.5,,"STOCKED",,"N",,
"P","3342965",,,,,,"1","10LB","LB","IMPERIAL FRESH","","Tomato Fresh Mixed Medley","Produce",33.99,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1008382",,,,,,"1","10LB","LB","PROPACK","","Peas Snow Fresh","Produce",46.95,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","2005346",,,,,,"1","1 LB","LB","IMPERIAL FRESH","","Oregano Fresh Herb","Produce",12.95,,"N",,false,,0,1,,"STOCKED",,"N",,
"P","1132050",,,,,,"1","3 LB","LB","IMPERIAL FRESH","10734730354788","Lettuce Fresh Tender Greens","Produce",15.18,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","1132040",,,,,,"4","3 LB","LB","IMPERIAL FRESH","10734730354795","Lettuce Fresh Tender Greens","Produce",37.49,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","1623131",,,,,,"1","12-15","CT","PROPACK","","Melon Cantaloupe Fresh","Produce",38.77,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","6042113",,,,,,"6","3 KILO","KG","ARREZZIO IMPERIAL","6042113","Pepper Red Strips Fire Roasted","Canned & Dry",77.69,,"N",,false,,0,35.25,,"STOCKED",,"N",,
"P","7567159",,,,,,"1","25LB","LB","PACKER","","Beets Fresh","Produce",32.89,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","4294294",,,,,,"1","18CT","CT","PROPACK","","Eggplant Fresh","Produce",34.95,,"N",,false,,0,27,,"STOCKED",,"N",,
"P","1185545",,,,,,"1","5 LB","LB","IMPERIAL FRESH","","Ginger Root Fresh","Produce",32.95,,"N",,false,,0,5,,"STOCKED",,"N",,
"P","0669208",,,,,,"1","CTN","CS","PROPACK","","Grape Green Seedless Large","Produce",72.95,,"N",,false,,0,18,,"STOCKED",,"N",,
"P","1873421",,,,,,"1","30LB","LB","PROPACK","4552","Cabbage Napa Chinese Fresh","Produce",37.99,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","1796077",,,,,,"1","20 LB","LB","PROPACK","","Broccoli Rabe Fresh","Produce",67.45,,"N",,false,,0,20.8333,,"STOCKED",,"N",,
"P","7078475",,,,,,"1","30 CT","CT","IMPERIAL FRESH","","Cilantro Bunch Iceless","Produce",42.49,,"N",,false,,0,8,,"STOCKED",,"N",,
"P","7078500",,,,,,"1","30 CT","CT","IMPERIAL FRESH","","Parsley Italian","Produce",26.45,,"N",,false,,0,8,,"STOCKED",,"N",,
"P","1821529",,,,,,"4","5 LB","LB","IMPERIAL FRESH","","Shallot Peeled Fresh","Produce",74.69,22.69,"N",,true,,1,20,,"STOCKED",,"N",,
"P","7651967",,,,,,"1","138 CT","CT","RELIANCE FRESH","","Oranges Choice Fresh","Produce",52.11,,"N",,false,,0,41,,"STOCKED",,"N",,
