Item Code,Quantity
065130-7,1.0
183090-0,2.0
183096-7,1.0
280264-3,1.0
2273316,2.0
2273399,2.0
227347-2,1.0
289451-7,1.0
289449-1,1.0
289447-5,1.0
289448-3,1.0
289450-9,1.0
289446-7,1.0
1513555,1.0
1109826,1.0
223894-7,1.0
223893-9,1.0
223791-5,1.0
244850-4,1.0
2316578,1.0
0584847,1.0
294004-7,1.0
058486-2,1.0
173964-8,1.0
173965-5,1.0
173967-1,1.0
2681278,1.0
1265040,1.0
2066751,1.0
312374-2,1.0
312375-9,1.0
150891-0,1.0
213596-0,1.0
263289-1,1.0
190283-2,1.0
252430-4,1.0
190282-4,1.0
253940-1,1.0
291971-0,1.0
0647719,1.0
0647743,1.0
279517-7,1.0
220234-9,1.0
