Item Code,Quantity
267463-8,1.0
2273464,1.0
227347-2,2.0
2273399,2.0
289451-7,1.0
289447-5,1.0
289448-3,1.0
289450-9,1.0
289446-7,1.0
1513555,1.0
1109826,1.0
286595-4,1.0
275975-1,1.0
044593-2,1.0
117597-5,1.0
1551282,1.0
0584847,1.0
3132826,1.0
2940062,1.0
164034-1,1.0
179989-9,1.0
2569374,1.0
2681286,1.0
252430-4,1.0
263289-1,1.0
213594-5,1.0
150891-0,1.0
308651-9,1.0
039986-5,1.0
285872-8,1.0
078727-5,1.0
0180430,1.0
0921965,1.0
0647743,1.0
0647719,1.0
066400-3,1.0
241819-2,1.0
162243-0,1.0
220234-9,1.0
0125385,1.0
065381-6,1.0
074419-3,1.0
0664003,1.0
