Item Code,Quantity
309752-4,1.0
118900-0,1.0
118902-6,1.0
159516-4,1.0
127801-9,1.0
207458-1,1.0
218561-9,1.0
218562-7,1.0
0125385,1.0
096401-5,1.0
0467480,1.0
280622-2,1.0
290140-3,1.0
0647719,2.0
0647743,2.0
285861-1,1.0
285854-6,1.0
252415-5,1.0
291971-0,1.0
0921965,1.0
253941-9,1.0
253938-5,1.0
253939-3,1.0
258846-5,1.0
233598-2,1.0
223761-8,1.0
1855071,1.0
083961-3,1.0
227349-8,1.0
289446-7,1.0
289447-5,1.0
289451-7,1.0
272451-6,1.0
267465-3,1.0
223893-9,1.0
244850-4,1.0
280251-0,1.0
292518-8,1.0
232698-1,1.0
253931-0,1.0
218594-0,1.0
256937-4,1.0
2681278,1.0
030570-6,1.0
275976-9,1.0
110982-6,2.0
1513555,1.0
289450-9,1.0
2894483,1.0
289449-1,1.0
227339-9,2.0
227347-2,1.0
2273464,2.0
280261-9,1.0
2802668,1.0
151397-7,1.0
179989-9,1.0
179991-5,1.0
161622-6,1.0
285863-7,1.0
117597-5,1.0
236946-0,1.0
312375-9,1.0
312374-2,1.0
264700-6,1.0
263289-1,1.0
190283-2,1.0
252430-4,1.0
190282-4,1.0
