P,1243724,2,0
P,2416691,4,0
P,683696,8,0
P,4617771,12,0
P,7456025,1,0
P,17354,6,0
P,7143223,1,0
P,7351430,1,0
P,9035601,4,0
P,2536555,12,0
P,7133036,12,0
P,2393502,6,0
P,4828802,2,0
P,9906052,1,0
P,4579587,8,0
P,7226918,6,0
P,6985683,1,0
P,7770727,1,0
P,8489148,10,0
P,6986178,1,0
P,1901992,1,0
P,7011663,1,0
P,3270676,1,0
P,3335504,1,0
P,633226,2,0
P,2240376,1,0
P,7338945,1,0
P,1161181,3,0
P,633186,1,0
P,7937269,1,0
P,954093,1,0
P,7119615,1,0
P,7119284,1,0
P,7119269,1,0
P,7119250,2,0
P,7119223,2,0
P,5756038,1,0
P,5756040,1,0
P,5756060,1,0
P,3438393,1,0
