P,7119223,1,0
P,7119284,1,0
P,7119269,1,0
P,0633226,1,0
P,5833462,2,0
P,5204383,2,0
P,4684250,2,0
P,7456025,1,0
P,0017354,3,0
P,7143223,1,0
P,2536555,20,0
P,1589290,3,0
P,1954734,2,0
P,2393502,1,0
P,4617771,5,0
P,2139032,1,0
P,4184628,1,0
P,7468556,1,0
P,7468507,1,0
P,7468531,1,0
P,3837541,1,0
P,7073742,3,0
P,5419353,1,0
P,4507234,1,0
P,4123212,1,0
P,1171012,1,0
P,2673867,1,0
P,0683696,8,0
P,7226918,2,0
P,1956804,1,0
P,9035601,1,0
P,6297594,3,0
P,4438911,3,0
P,3413107,2,0
P,7128077,1,0
P,2366607,5,0
P,1101324,4,0
P,4828802,4,0
P,1161181,35,0
P,7233411,6,0
P,1777309,1,0
P,4803144,1,0
