"H","L0601","027","218248","ithaca produce list","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","2105773",,,,,,"1","30 DZ","DZ","WHOLESOME FARMS CLASSIC",,"Egg Shell Large White Usda Aa","Dairy",97.6,,"N",,false,,0,47,,"STOCKED",,,,
"P","2463164",,,,,,"1","4 LB","LB","IMPERIAL FRESH",,"Grape Red Seedless Fresh","Produce",24.89,,"N",,false,,0,4,,"STOCKED",,,,
"P","1354135",,,,,,"1","5-6CT","CT","PROPACK",,"Melon Honeydew Fresh","Produce",32.45,,"N",,false,,0,24,,"STOCKED",,,,
"P","1985274",,,,,,"4","2.5 LB","LB","IMPERIAL FRESH",,"Kale Cleaned Ready To Use","Produce",39.45,11.99,"N",,true,,1,10,,"STOCKED",,,,
"P","1290469",,,,,,"1","39 CT","CT","PACKER",,"Kiwi Fruit Fancy Fresh","Produce",29.76,,"N",,false,,0,10,,"STOCKED",,,,
"P","1008168",,,,,,"1","12 CT","CT","PROPACK",,"Leek Bunch Fresh","Produce",42.88,,"N",,false,,0,20,,"STOCKED",,,,
"P","1723857",,,,,,"1","24 CT","CT","SYSCO/FRESHPOINT NATURAL",,"Lettuce Greens Leaf Fresh With Liner","Produce",27.45,,"N",,false,,0,23,,"STOCKED",,,,
"P","3758778",,,,,,"1","3 LB","LB","IMPERIAL FRESH",,"Mushrooms Shiitake Medium With Stems","Produce",31.95,,"N",,false,,0,3,,"STOCKED",,,,
"P","1182211",,,,,,"1","10LB","LB","IMPERIAL FRESH",,"Mushroom Medium Fresh","Produce",26.17,,"N",,false,,0,10.1,,"STOCKED",,,,
"P","8313967",,,,,,"1","25 LB","LB","IMPERIAL FRESH",,"Onion Red Jumbo Box","Produce",32.99,,"N",,false,,0,25,,"STOCKED",,,,
"P","1094721",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Onion Yellow Jumbo Bag","Produce",36.95,,"N",,false,,0,50,,"STOCKED",,,,
"P","6846554",,,,,,"1","30 LB","LB","IMPERIAL FRESH",,"Onions Yellow Whole Peeled Jumbo","Produce",53.95,,"N",,false,,0,30,,"STOCKED",,,,
"P","7350788",,,,,,"4","2 LB","LB","IMPERIAL FRESH",,"Onion Green Iceless","Produce",48.45,14.69,"N",,true,,1,8.4,,"STOCKED",,,,
"P","2219111",,,,,,"4","1 LB","LB","IMPERIAL FRESH",,"Parsley Cleaned & Washed Fresh Herb","Produce",22.64,6.79,"N",,true,,1,4,,"STOCKED",,,,
"P","1745161",,,,,,"1","11 LB","LB","IMPERIAL FRESH",,"Pepper Bell Red Hothouse #1","Produce",23.65,,"N",,false,,0,11,,"STOCKED",,,,
"P","9927799",,,,,,"1","10 LB","LB","IMPERIAL FRESH",,"Pepper Jalapeno Fresh","Produce",18.11,,"N",,false,,0,10,,"STOCKED",,,,
"P","7413057",,,,,,"1","6 CT","CT","PROPACK",,"Pineapple Fresh Golden Ripe","Produce",18.95,,"N",,false,,0,12,,"STOCKED",,,,
"P","8481756",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Potato Red A Size #1 Fresh","Produce",32.95,,"N",,false,,0,50,,"STOCKED",,,,
"P","1008465",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Potato Baking Idaho 90 Count Fresh","Produce",21.19,,"N",,false,,0,50,,"STOCKED",,,,
"P","8474538",,,,,,"1","4 LB","LB","IMPERIAL FRESH",,"Spinach Baby Fresh","Produce",14.95,,"N",,false,,0,4,,"STOCKED",,,,
"P","3629433",,,,,,"1","3 LB","LB","IMPERIAL FRESH",,"Lettuce Spring Mix Conventional Pillow-packed","Produce",12.41,,"N",,false,,0,3,,"STOCKED",,,,
"P","4249389",,,,,,"12","2 LB","LB","SYSCO IMPERIAL",,"Pea Sugar Snap Grade A Usa","Frozen",79.35,,"N",,false,,0,24,,"STOCKED",,,,
"P","6017263",,,,,,"12","1 PT","PT","IMPERIAL FRESH",,"Tomato Grape Fresh","Produce",45.85,,"N",,false,,0,10,,"STOCKED",,,,
"P","9173196",,,,,,"1","4-5 CT","CT","PACKER",,"Melon Watermelon Seedless Fresh","Produce",69.79,,"N",,false,,0,70,,"STOCKED",,,,
"P","2036598",,,,,,"1","18-24#","LB","PROPACK",,"Squash Zucchini Small Fancy Fresh","Produce",40.29,,"N",,false,,0,25,,"STOCKED",,,,
"P","7410566",,,,,,"1","6 CT","CT","IMPERIAL FRESH",,"Grapefruit Ruby Red Fresh","Produce",6.95,,"N",,false,,0,6.5,,"STOCKED",,,,
"P","6359673",,,,,,"12","6 OZ","OZ","PACKER",,"Blueberries Fresh","Produce",31.39,,"N",,false,,0,4.5,,"STOCKED",,,,
"P","1182336",,,,,,"12",".5 PT","PT","PROPACK",,"Raspberry Red Fresh","Produce",40.68,,"N",,false,,0,5.5,,"STOCKED",,,,
"P","3342965",,,,,,"1","10 LB","LB","IMPERIAL FRESH",,"Tomato Fresh Mixed Medley","Produce",33.59,,"N",,false,,0,10,,"STOCKED",,,,
"P","1008382",,,,,,"1","10LB","LB","PROPACK",,"Peas Snow Fresh","Produce",43.95,,"N",,false,,0,10,,"STOCKED",,,,
"P","2005346",,,,,,"1","1 LB","LB","IMPERIAL FRESH",,"Oregano Fresh Herb","Produce",14.79,,"N",,false,,0,1,,"STOCKED",,,,
"P","1132050",,,,,,"1","3 LB","LB","IMPERIAL FRESH",,"Lettuce Fresh Tender Greens","Produce",11.11,,"N",,false,,0,3,,"STOCKED",,,,
"P","1132040",,,,,,"4","3 LB","LB","IMPERIAL FRESH",,"Lettuce Fresh Tender Greens","Produce",34.87,,"N",,false,,0,12,,"STOCKED",,,,
