"H","L0601","027","218248","IBProduce","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","2704989",,,,,,"1","20 LB","LB","IMPERIAL FRESH",,"Broccoli Crowns Fresh Iceless","Produce",42.83,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","1675859",,,,,,"4","3 LB","LB","IMPERIAL FRESH",,"Broccoli Florets Iceless","Produce",32.5,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","2227015",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Carrots Jumbo Fresh","Produce",44.6,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","2260149",,,,,,"1","12 CT","CT","PACKER",,"Greens Collard Fresh","Produce",26.67,,"N",,false,,0,16.5,,"STOCKED",,"N",,
"P","2105773",,,,,,"1","30 DZ","DZ","WHOLESOME FARMS CLASSIC",,"Egg Shell Large White Usda Aa","Dairy",76.9,,"N",,false,,0,47,,"STOCKED",,"N",,
"P","2463164",,,,,,"1","4 LB","LB","IMPERIAL FRESH",,"Grape Red Seedless Fresh","Produce",25.85,,"N",,false,,0,4,,"STOCKED",,"N",,
"P","1354135",,,,,,"1","5-6CT","CT","PROPACK",,"Melon Honeydew Fresh","Produce",31.56,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","1985274",,,,,,"4","2.5 LB","LB","IMPERIAL FRESH",,"Kale Cleaned Ready To Use","Produce",37,11.1,"N",,true,,1,10,,"STOCKED",,"N",,
"P","1290469",,,,,,"1","39 CT","CT","PACKER",,"Kiwi Fruit Fancy Fresh","Produce",35.55,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1008168",,,,,,"1","12 CT","CT","PROPACK",,"Leek Bunch Fresh","Produce",44.59,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","1723857",,,,,,"1","24 CT","CT","SYSCO/FRESHPOINT NATURAL",,"Lettuce Greens Leaf Fresh With Liner","Produce",28.87,,"N",,false,,0,23,,"STOCKED",,"N",,
"P","3758778",,,,,,"1","3 LB","LB","IMPERIAL FRESH",,"Mushrooms Shiitake Medium With Stems","Produce",31,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","1182211",,,,,,"1","10LB","LB","IMPERIAL FRESH",,"Mushroom Medium Fresh","Produce",25.82,,"N",,false,,0,10.1,,"STOCKED",,"N",,
"P","8313967",,,,,,"1","25 LB","LB","IMPERIAL FRESH",,"Onion Red Jumbo Box","Produce",34.95,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","1094721",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Onion Yellow Jumbo Bag","Produce",35.99,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","6846554",,,,,,"1","30 LB","LB","IMPERIAL FRESH",,"Onions Yellow Whole Peeled Jumbo","Produce",50.93,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","7350788",,,,,,"4","2 LB","LB","IMPERIAL FRESH",,"Onion Green Iceless","Produce",29.78,8.94,"N",,true,,1,8.4,,"STOCKED",,"N",,
"P","2219111",,,,,,"4","1 LB","LB","IMPERIAL FRESH",,"Parsley Cleaned & Washed Fresh Herb","Produce",21.88,6.56,"N",,true,,1,4,,"STOCKED",,"N",,
"P","1745161",,,,,,"1","11 LB","LB","IMPERIAL FRESH",,"Pepper Bell Red Hothouse #1","Produce",23.8,,"N",,false,,0,11,,"STOCKED",,"N",,
"P","9927799",,,,,,"1","10 LB","LB","IMPERIAL FRESH",,"Pepper Jalapeno Fresh","Produce",19.77,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7413057",,,,,,"1","6 CT","CT","PROPACK",,"Pineapple Fresh Golden Ripe","Produce",19.5,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","8481756",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Potato Red A Size #1 Fresh","Produce",34.56,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","1008465",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Potato Baking Idaho 90 Count Fresh","Produce",19.89,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","8474538",,,,,,"1","4 LB","LB","IMPERIAL FRESH",,"Spinach Baby Fresh","Produce",14.23,,"N",,false,,0,4,,"STOCKED",,"N",,
"P","3629433",,,,,,"1","3 LB","LB","IMPERIAL FRESH",,"Lettuce Spring Mix Conventional Pillow-packed","Produce",10.75,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","4249389",,,,,,"12","2 LB","LB","SYSCO IMPERIAL",,"Pea Sugar Snap Grade A Usa","Frozen",79.35,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","6017263",,,,,,"12","1 PT","PT","IMPERIAL FRESH",,"Tomato Grape Fresh","Produce",18.85,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","9173196",,,,,,"1","4-5 CT","CT","PACKER",,"Melon Watermelon Seedless Fresh","Produce",100.89,,"N",,false,,0,70,,"STOCKED",,"N",,
"P","2036598",,,,,,"1","18-24#","LB","PROPACK",,"Squash Zucchini Small Fancy Fresh","Produce",21.66,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","7410566",,,,,,"1","6 CT","CT","IMPERIAL FRESH",,"Grapefruit Ruby Red Fresh","Produce",6.95,,"N",,false,,0,6.5,,"STOCKED",,"N",,
"P","6359673",,,,,,"12","6 OZ","OZ","PACKER",,"Blueberries Fresh","Produce",52.17,,"N",,false,,0,4.5,,"STOCKED",,"N",,
"P","1182336",,,,,,"12",".5 PT","PT","PROPACK",,"Raspberry Red Fresh","Produce",41.68,,"N",,false,,0,5.5,,"STOCKED",,"N",,
"P","3342965",,,,,,"1","10 LB","LB","IMPERIAL FRESH",,"Tomato Fresh Mixed Medley","Produce",30.88,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1008382",,,,,,"1","10LB","LB","PROPACK",,"Peas Snow Fresh","Produce",34.77,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","2005346",,,,,,"1","1 LB","LB","IMPERIAL FRESH",,"Oregano Fresh Herb","Produce",12.89,,"N",,false,,0,1,,"STOCKED",,"N",,
"P","1132050",,,,,,"1","3 LB","LB","IMPERIAL FRESH",,"Lettuce Fresh Tender Greens","Produce",11.47,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","1132040",,,,,,"4","3 LB","LB","IMPERIAL FRESH",,"Lettuce Fresh Tender Greens","Produce",30.86,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","1623131",,,,,,"1","12-15","CT","PROPACK",,"Melon Cantaloupe Fresh","Produce",34.65,,"N",,false,,0,40,,"STOCKED",,"N",,
